dataset,k,time_seconds
Breast Cancer,3,11.598139899899252
Breast Cancer,5,11.41129929991439
Breast Cancer,9,10.956263999920338
Breast Cancer,15,11.493919700034894
Breast Cancer,21,11.760706500033848
