dataset,n_rows,m_cols,time_seconds
RNA-Seq,50,100,0.36825359996873885
RNA-Seq,50,500,2.215195000055246
RNA-Seq,50,1000,4.910516700008884
RNA-Seq,50,2000,12.836199100012891
RNA-Seq,50,5000,51.48678989999462
