dataset,missing_rate,k,rmse,mae,time_seconds
Adult,0.05,3,0.1447101625282709,0.08379161162875212,4.062965699937195
Adult,0.05,5,0.13619342047421698,0.08165343418094335,4.690353799960576
Adult,0.05,7,0.13298253197653642,0.0793303434125402,4.6674514000769705
Adult,0.05,11,0.12962052541377134,0.07748224641531751,4.850591899943538
Adult,0.15,3,0.14953001687481213,0.09419697442104957,13.120367199997418
Adult,0.15,5,0.1444913780944892,0.0898611523333302,13.754555699997582
Adult,0.15,7,0.1424439711425612,0.0882640669043829,13.732133299927227
Adult,0.15,11,0.14141382068716962,0.08719560437624482,13.41681049996987
Adult,0.3,3,0.14768890449560673,0.08889153577760071,24.82705789990723
Adult,0.3,5,0.14220141799663277,0.0859191345789837,24.033848199993372
Adult,0.3,7,0.14105866170419454,0.08475232273232343,23.902787799946964
Adult,0.3,11,0.14002046712672692,0.0830104539364858,25.21350730000995
