dataset,k,time_seconds
RNA-Seq,3,227.65110750007443
RNA-Seq,5,227.1953009000281
RNA-Seq,9,229.0709746000357
RNA-Seq,15,228.04228379996493
RNA-Seq,21,221.21636369999032
