dataset,k,weight,rmse,time_seconds
RNA-Seq,3,uniform,0.17849932370658741,355.8864658999955
RNA-Seq,3,distance,0.17844324729836858,358.55924610001966
RNA-Seq,5,uniform,0.17445133949689146,356.8798674000427
RNA-Seq,5,distance,0.17420383872765693,352.51347659993917
RNA-Seq,7,uniform,0.1732132503010498,356.73561810003594
RNA-Seq,7,distance,0.17295313394690348,355.0260079000145
RNA-Seq,11,uniform,0.1740604931418325,354.7039484999841
RNA-Seq,11,distance,0.1737117711426306,354.7937559999991
