dataset,k,weight,rmse,time_seconds
Breast Cancer,3,uniform,0.0768521909200428,22.70112570002675
Breast Cancer,3,distance,0.07614919284940551,22.444460100028664
Breast Cancer,5,uniform,0.07431265643185998,22.154268899932504
Breast Cancer,5,distance,0.0741100391429702,21.102208099910058
Breast Cancer,7,uniform,0.074914767962328,21.58589609991759
Breast Cancer,7,distance,0.07452985166191436,22.8699185999576
Breast Cancer,11,uniform,0.07547948894060814,22.218177299946547
Breast Cancer,11,distance,0.07485634455734691,21.636351800058037
